Rating Agency,Company,Rating,Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Moody's Investors Service,Corning Incorporated,BBB+,2015-10-28,24741,1,3679.0,BusEq,GLW,4.4053,0.1297,0.1507,41.7087,19.8765,19.8765,32.2285,36.7267,24.4776,0.3232,12.7739,12.3569,8.2227,9.9361,1.3936,1.3366
Egan-Jones Ratings Company,DTE ENERGY COMPANY,AA,2015-10-28,936340,1,4931.0,Utils,DTE,1.1688,0.5,1.0807,42.9152,12.9258,12.9258,22.6242,10.365,7.3571,0.4409,10.9206,14.6416,3.2654,5.46,-1.8849,-2.6926
Egan-Jones Ratings Company,DOVER CORPORATION,A,2015-10-28,29905,1,3585.0,Manuf,DOV,1.39,0.3784,0.819,38.3639,15.6782,15.6782,19.6405,14.1138,9.9995,0.8585,21.0267,-67.0607,8.617,13.0697,-0.0172,-0.236
Egan-Jones Ratings Company,RITE AID CORPORATION,B+,2015-10-27,84129,0,5912.0,Shops,RAD,3.8418,0.1662,0.1995,54.1836,6.8957,6.8957,6.8957,6.0485,4.0847,0.651,4.0658,6.2108,2.659,3.3899,3.5303,3.0325
Egan-Jones Ratings Company,NUCOR CORPORATION,BBB,2015-10-27,73309,1,3312.0,Manuf,NUE,3.2701,0.3562,0.5574,7.4041,4.8747,4.8747,8.0775,4.1524,2.5515,1.2532,7.4021,11.566,3.8513,4.7654,-0.3956,-1.2207
Egan-Jones Ratings Company,EQUIFAX INC,A-,2015-10-27,33185,1,7323.0,Other,EFX,0.9787,0.3286,0.616,65.8275,26.5289,26.5289,34.7888,23.0218,15.2698,0.5075,14.5878,-30.415,7.5222,9.7949,0.5484,0.4137
Egan-Jones Ratings Company,EQT CORPORATION,BB+,2015-10-27,33213,0,4923.0,Utils,EQT,2.2852,0.3047,0.4644,83.3518,34.5545,34.5545,62.0596,29.3035,15.6684,0.2052,7.9965,7.9965,4.2344,5.5596,1.6151,-6.5298
Egan-Jones Ratings Company,3M COMPANY,AA,2015-10-27,66740,1,2670.0,Manuf,MMM,2.0629,0.3378,0.5183,48.314,22.4223,22.4223,26.8471,22.0798,15.5746,1.0196,38.0307,107.3223,16.0146,25.1827,1.6224,1.787
Egan-Jones Ratings Company,DANAHER CORPORATION,A-,2015-10-27,313616,1,3826.0,BusEq,DHR,2.013,0.1328,0.1558,51.0964,17.0677,17.0677,21.7201,18.6856,14.7404,0.5273,11.5387,1565.336,7.4717,10.0069,0.2536,0.1395
Egan-Jones Ratings Company,"FREEPORT-MCMORAN, INC",BB,2015-10-27,831259,0,1000.0,Other,FCX,1.7488,0.4498,0.8387,7.5346,-1.4899,-1.4899,17.8241,-3.9998,-6.5397,0.3409,-4.5475,-4.5475,-1.7418,-2.5021,-0.6828,-2.3724
Egan-Jones Ratings Company,SOUTHWEST AIRLINES CO,AAA,2015-10-27,92380,1,4512.0,Other,LUV,0.663,0.3061,0.4791,29.5297,11.9592,11.9592,17.0008,9.7608,6.1059,0.9433,16.7675,19.5693,5.7598,11.6358,0.7196,0.204
Egan-Jones Ratings Company,MANPOWERGROUP INC.,A-,2015-10-26,871763,1,7363.0,Other,MAN,1.4939,0.1419,0.1777,16.6253,2.5278,2.5278,2.9935,2.3481,1.4222,2.7785,9.8826,19.02,3.9515,8.4803,0.8439,1.135
Egan-Jones Ratings Company,BAKER HUGHES INCORPORATED,BBB+,2015-10-26,1701605,1,1389.0,Enrgy,BKR,2.5976,0.1728,0.2207,19.5715,11.6452,11.6452,19.0339,10.7002,7.0018,0.8517,9.2419,14.6236,6.0048,7.6447,-0.3927,0.1942
Egan-Jones Ratings Company,ILLINOIS TOOL WORKS INC,A+,2015-10-26,49826,1,3560.0,Manuf,ITW,2.2309,0.4655,1.0872,40.1201,19.9392,19.9392,23.4397,18.6344,20.3397,0.8293,27.6964,527.933,10.8216,14.8038,-1.6324,-1.7211
Egan-Jones Ratings Company,EBAY INC.,A,2015-10-26,1065088,1,7370.0,BusEq,EBAY,1.5134,0.254,0.3832,81.0808,28.1684,28.1684,35.9272,28.6121,0.5233,0.1948,-4.3454,-5.7277,-1.9166,-3.2418,0.7337,0.7529
Egan-Jones Ratings Company,AMERICA MOVIL SAB DE CV,BBB,2015-10-26,1129137,1,4812.0,Telcm,AMX,0.7611,0.6994,2.573,54.4843,18.4575,18.4575,32.0135,10.282,5.4394,0.6636,20.2409,-295.2425,3.7153,6.0844,1.3086,1.0362
Egan-Jones Ratings Company,"YUM! BRANDS, INC.",BBB-,2015-10-26,1041061,1,5812.0,Shops,YUM,0.7466,0.5669,1.341,46.4843,13.742,13.742,19.2525,11.8542,8.3384,1.5048,47.7344,151.5669,12.2369,20.6722,-0.21,-0.162
Egan-Jones Ratings Company,SONOCO PRODUCTS COMPANY,A-,2015-10-26,91767,1,2650.0,Manuf,SON,1.5649,0.3568,0.5753,17.7233,7.1876,7.1876,11.2535,6.0208,4.3159,1.2232,12.374,58.1688,5.3115,7.9594,1.2732,1.4878
Egan-Jones Ratings Company,DUKE ENERGY CORPORATION,A+,2015-10-26,1326160,1,4931.0,Utils,DUK,1.2166,0.4795,0.9924,65.4069,21.3306,21.3306,35.5203,16.6769,11.7112,0.1983,6.2548,10.3319,2.2565,3.2554,-0.0803,1.6595
Egan-Jones Ratings Company,TUPPERWARE BRANDS CORPORATION,A-,2015-10-26,1008654,1,3089.0,Manuf,TUP,0.858,0.7671,4.486,66.0796,14.1092,14.1092,16.5765,11.4424,8.2269,1.4725,115.3929,-253.4281,12.1144,26.8705,-0.5217,-0.6115
Egan-Jones Ratings Company,CARPENTER TECHNOLOGY,BBB-,2015-10-26,17843,1,3312.0,Manuf,CRS,3.3232,0.3129,0.4554,14.2947,5.0074,5.0074,10.4998,4.0014,2.6362,0.7671,4.4272,5.8883,2.0223,3.0419,0.8922,4.1701
Egan-Jones Ratings Company,UNISYS CORPORATION,BB-,2015-10-23,746838,0,7373.0,BusEq,UIS,1.3203,-0.1806,-0.1542,23.1736,4.6151,4.6151,9.6383,4.335,1.3109,1.429,-4.0829,-3.3307,2.5248,-4.8204,-1.8054,-0.9029
Egan-Jones Ratings Company,ABBOTT LABORATORIES,A+,2015-10-23,1800,1,3845.0,Hlth,ABT,2.0245,0.1182,0.2597,53.2329,10.8511,10.8511,19.5961,10.3831,13.1048,0.4576,7.868,20.3689,4.6283,6.9377,-3.7387,-3.3386
Egan-Jones Ratings Company,SILGAN HOLDINGS INC,BB+,2015-10-23,849869,0,3411.0,Manuf,SLGN,1.7452,0.6857,2.3869,14.7564,8.7415,8.7415,13.3849,6.8685,4.9997,1.1167,25.9739,-111.4448,5.5829,8.1626,0.1961,0.2517
Egan-Jones Ratings Company,"UNITED RENTALS, INC",BB,2015-10-23,1067701,0,7350.0,Other,URI,0.8782,0.8033,4.4283,42.7792,24.4679,24.4679,45.7696,14.9516,9.4987,0.4687,30.0334,-20.9302,4.4521,5.9068,2.5676,1.7037
